product_id,title,src,classified_niche_ai
4747048,VortexAura &mdash; Captivate Every Eye and Ignite Laser-Sharp Focus Instantly,https://cdn.shopify.com/s/files/1/0896/3417/7361/files/ee99864d366f460dfd18536829afc8d036bfc7e18ed178234df17b29c8b3e16e.jpg?v=1760606305,Hobbies & Stationary Supplies
4613591,Dekokissen Samt Weich Quadratisch Sofa Wohnzimmer,https://cdn.shopify.com/s/files/1/0812/8400/6232/files/luxurises-dekokissen-fr-stilvo-4-9onr10.png?v=1758975763,Home & Interior
3998957,Lioba &ndash; L&auml;ssiges Leinenkleid Mit Stickerei Und Schlitz,https://cdn.shopify.com/s/files/1/0875/0078/3880/files/spp_20250522120301_6af62aa0484423557043d9632155545a_9646b9db-7ef2-4419-9b8d-76bd2c6a1e56.png?v=1751866534,Fashion
3722839,Portabler Kopfhautmassageger&auml;t,https://cdn.shopify.com/s/files/1/0812/8400/6232/files/AppareilMassantCuirCheveluPortable-voyage.webp?v=1748437206,Health & Supplements
3026403,PicnicPal &ndash; B&aelig;rbar udend&oslash;rs drikkevareholder med rum til flasker og glas,https://cdn.shopify.com/s/files/1/0762/8652/5763/files/Screenshot_2025-03-16_220841.png?v=1742144985,"Outdoor,Garden & Adventure Gear"
3252603,Tech Ashtray | Smart Detection Touch,https://cdn.shopify.com/s/files/1/0876/2805/4869/files/tech-asbak-slimme-detectie-touch-409094.webp?v=1731571118,Consumer Electronics
4117358,Dermave&trade; Electric Foot Callus Remover,https://cdn.shopify.com/s/files/1/0947/1993/4794/files/Main_Image_3.webp?v=1753345699,Beauty & Personal Care
1369379,UltraFlex Overhemd | Kreukvrije Blouse met Rits,https://cdn.shopify.com/s/files/1/0552/3013/6511/files/49.png?v=1721434223,Fashion
3171450,Metalen Drukknoop tangenset | GripSnap&trade;,https://cdn.shopify.com/s/files/1/0921/7563/0660/files/SNAPSTER17065__f0657bf1.jpg?v=1743513257,Hobbies & Stationary Supplies
4065148,Josefin | Ręcznie robiona torba na ramię z miękkiej sk&oacute;ry,https://cdn.shopify.com/s/files/1/0894/8069/2059/files/8d9f60e44b9ddb6ec28bdc10bfcd7d4c3541ceb956e78a877005a2d4e6207353-700_5258886f-e916-452b-97a1-bd5fd1a53add.jpg?v=1752776717,Fashion
3678761,25+25 GRATIS | FloraClips - Kunststoff-Pflanzenklammern Halterung [Letzter Tag Rabatt],https://cdn.shopify.com/s/files/1/0848/3071/6169/files/24f4d607cb1dcd0bdae7d893c7133d0a9c8ea63199620dfb9e68a93f691a5a17-700.webp?v=1745333183,"Outdoor,Garden & Adventure Gear"
4633484,&Eacute;cryto&trade; &ndash; Wearable Crystal Vessel for Inner Balance  (50% Off),https://cdn.shopify.com/s/files/1/0907/6713/0987/files/d8ded7dd688e942a40f594cc129da28ab949fd63-600.jpg?v=1755935476,Jewelry
